State FIPS,Area Name,Occupation Code,Occupation Name,Year,2022 opening,Prediction Year,2023 opening,Change,Percent Change,Average Annual Openings
1,Alabama,17-3022,Civil Engineering Technicians,2022,2530,2023,2600,70,2.8,270
1,Alabama,17-3023,Electrical and Electronics Engineering Technicians,2022,2230,2023,2320,90,4.0,250
1,Alabama,17-3024,Electro-Mechanical Technicians,2022,80,2023,90,10,12.5,10
1,Alabama,17-3025,Environmental Engineering Technicians,2022,160,2023,170,10,6.3,20
1,Alabama,17-3026,Industrial Engineering Technicians,2022,1090,2023,1140,50,4.6,130
1,Alabama,17-3027,Mechanical Engineering Technicians,2022,830,2023,880,50,6.0,100
1,Alabama,17-3031,Surveying and Mapping Technicians,2022,820,2023,820,0,.0,100
1,Alabama,17-3098,"Calibration and Engineering Technologists and Technicians, Except Drafters, All Other",2022,850,2023,880,30,3.5,100
1,Alabama,19-1012,Food Scientists and Technologists,2022,90,2023,90,0,.0,10
1,Alabama,19-1013,Soil and Plant Scientists,2022,190,2023,200,10,5.3,20
1,Alabama,19-1022,Microbiologists,2022,200,2023,200,0,.0,20
1,Alabama,19-1023,Zoologists and Wildlife Biologists,2022,210,2023,210,0,.0,20
1,Alabama,19-1029,"Biological Scientists, All Other",2022,300,2023,300,0,.0,30
1,Alabama,19-1031,Conservation Scientists,2022,130,2023,130,0,.0,10
1,Alabama,19-1032,Foresters,2022,330,2023,320,-10,-3.0,30
1,Alabama,19-1041,Epidemiologists,2022,60,2023,70,10,16.7,10
1,Alabama,19-1042,"Medical Scientists, Except Epidemiologists",2022,740,2023,790,50,6.8,80
1,Alabama,19-2012,Physicists,2022,130,2023,140,10,7.7,10
1,Alabama,19-2022,Atmospheric and Space Scientists,2022,110,2023,110,0,.0,10
1,Alabama,19-2031,Chemists,2022,840,2023,890,50,6.0,100
1,Alabama,19-2032,Materials Scientists,2022,40,2023,40,0,.0,0
1,Alabama,19-2041,"Environmental Scientists and Specialists, Including Health",2022,990,2023,1020,30,3.0,110
1,Alabama,19-2042,"Geoscientists, Except Hydrologists and Geographers",2022,160,2023,160,0,.0,20
1,Alabama,19-2099,"Physical Scientists, All Other",2022,170,2023,170,0,.0,10
1,Alabama,19-3011,Economists,2022,70,2023,70,0,.0,10
1,Alabama,19-3022,Survey Researchers,2022,30,2023,30,0,.0,0
1,Alabama,19-3031,"Clinical, Counseling, and School Psychologists",2022,940,2023,960,20,2.1,80
1,Alabama,19-3032,Industrial-Organizational Psychologists,2022,50,2023,60,10,20.0,0
1,Alabama,19-3039,"Psychologists, All Other",2022,610,2023,610,0,.0,40
1,Alabama,19-3051,Urban and Regional Planners,2022,440,2023,450,10,2.3,40
1,Alabama,19-3091,Anthropologists and Archeologists,2022,80,2023,80,0,.0,10
1,Alabama,19-3093,Historians,2022,40,2023,40,0,.0,0
1,Alabama,19-3094,Political Scientists,2022,10,2023,10,0,.0,0
1,Alabama,19-3099,"Social Scientists and Related Workers, All Other",2022,240,2023,240,0,.0,20
1,Alabama,19-4010,Agricultural and Food Science Technicians (SOC 2018),2022,380,2023,380,0,.0,50
1,Alabama,19-4021,Biological Technicians,2022,630,2023,650,20,3.2,90
1,Alabama,19-4031,Chemical Technicians,2022,1460,2023,1530,70,4.8,200
1,Alabama,19-4042,"Environmental Science and Protection Technicians, Including Health (SOC 2018)",2022,350,2023,370,20,5.7,50
1,Alabama,19-4045,Geological and Hydrologic Technicians,2022,70,2023,70,0,.0,10
1,Alabama,19-4071,Forest and Conservation Technicians (SOC 2018),2022,210,2023,210,0,.0,30
1,Alabama,19-4092,Forensic Science Technicians,2022,180,2023,180,0,.0,20
1,Alabama,19-4099,"Life, Physical, and Social Science Technicians, All Other",2022,400,2023,410,10,2.5,60
1,Alabama,19-5011,Occupational Health and Safety Specialists (SOC 2018),2022,1280,2023,1310,30,2.3,110
1,Alabama,19-5012,Occupational Health and Safety Technicians (SOC 2018),2022,280,2023,290,10,3.6,30
1,Alabama,21-1012,"Educational, Guidance, School, and Vocational Counselors",2022,4450,2023,4620,170,3.8,510
1,Alabama,21-1013,Marriage and Family Therapists,2022,400,2023,400,0,.0,40
1,Alabama,21-1015,Rehabilitation Counselors,2022,870,2023,880,10,1.1,90
1,Alabama,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",2022,5450,2023,5740,290,5.3,660
1,Alabama,21-1019,"Counselors, All Other",2022,430,2023,440,10,2.3,50
1,Alabama,21-1021,"Child, Family, and School Social Workers",2022,4050,2023,4120,70,1.7,400
1,Alabama,21-1022,Healthcare Social Workers,2022,2410,2023,2480,70,2.9,260
1,Alabama,21-1023,Mental Health and Substance Abuse Social Workers,2022,1710,2023,1790,80,4.7,200
1,Alabama,21-1029,"Social Workers, All Other",2022,510,2023,520,10,2.0,50
1,Alabama,21-1091,Health Educators,2022,500,2023,510,10,2.0,60
1,Alabama,21-1092,Probation Officers and Correctional Treatment Specialists,2022,1050,2023,1060,10,1.0,90
1,Alabama,21-1093,Social and Human Service Assistants,2022,2850,2023,2950,100,3.5,380
1,Alabama,21-1094,Community Health Workers,2022,510,2023,530,20,3.9,60
1,Alabama,21-1099,"Community and Social Service Specialists, All Other",2022,90,2023,90,0,.0,10
1,Alabama,21-2011,Clergy,2022,5670,2023,6020,350,6.2,750
1,Alabama,23-1011,Lawyers,2022,8110,2023,8490,380,4.7,580
1,Alabama,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",2022,100,2023,100,0,.0,0
1,Alabama,23-1023,"Judges, Magistrate Judges, and Magistrates",2022,550,2023,560,10,1.8,30
1,Alabama,23-2011,Paralegals and Legal Assistants,2022,4250,2023,4510,260,6.1,600
1,Alabama,23-2093,"Title Examiners, Abstractors, and Searchers",2022,590,2023,600,10,1.7,70
1,Alabama,23-2099,"Legal Support Workers, All Other",2022,250,2023,260,10,4.0,30
1,Alabama,25-1011,"Business Teachers, Postsecondary",2022,870,2023,890,20,2.3,100
1,Alabama,25-1021,"Computer Science Teachers, Postsecondary",2022,490,2023,500,10,2.0,50
1,Alabama,25-1022,"Mathematical Science Teachers, Postsecondary",2022,790,2023,810,20,2.5,90
1,Alabama,25-1031,"Architecture Teachers, Postsecondary",2022,50,2023,50,0,.0,10
1,Alabama,25-1032,"Engineering Teachers, Postsecondary",2022,570,2023,590,20,3.5,70
1,Alabama,25-1041,"Agricultural Sciences Teachers, Postsecondary",2022,160,2023,170,10,6.3,20
1,Alabama,25-1042,"Biological Science Teachers, Postsecondary",2022,1970,2023,2080,110,5.6,240
1,Alabama,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",2022,50,2023,50,0,.0,10
1,Alabama,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2022,80,2023,90,10,12.5,10
1,Alabama,25-1052,"Chemistry Teachers, Postsecondary",2022,340,2023,350,10,2.9,40
1,Alabama,25-1053,"Environmental Science Teachers, Postsecondary",2022,40,2023,40,0,.0,0
1,Alabama,25-1054,"Physics Teachers, Postsecondary",2022,160,2023,170,10,6.3,20
1,Alabama,25-1061,"Anthropology and Archeology Teachers, Postsecondary",2022,50,2023,50,0,.0,10
1,Alabama,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",2022,70,2023,70,0,.0,10
1,Alabama,25-1063,"Economics Teachers, Postsecondary",2022,190,2023,200,10,5.3,20
1,Alabama,25-1065,"Political Science Teachers, Postsecondary",2022,140,2023,150,10,7.1,20
1,Alabama,25-1066,"Psychology Teachers, Postsecondary",2022,480,2023,500,20,4.2,50
1,Alabama,25-1067,"Sociology Teachers, Postsecondary",2022,140,2023,150,10,7.1,10
1,Alabama,25-1069,"Social Sciences Teachers, Postsecondary, All Other",2022,70,2023,70,0,.0,10
1,Alabama,25-1071,"Health Specialties Teachers, Postsecondary",2022,2110,2023,2240,130,6.2,270
1,Alabama,25-1072,"Nursing Instructors and Teachers, Postsecondary",2022,1200,2023,1270,70,5.8,150
1,Alabama,25-1081,"Education Teachers, Postsecondary",2022,750,2023,780,30,4.0,80
1,Alabama,25-1082,"Library Science Teachers, Postsecondary",2022,150,2023,160,10,6.7,20
1,Alabama,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2022,150,2023,150,0,.0,20
1,Alabama,25-1113,"Social Work Teachers, Postsecondary",2022,200,2023,210,10,5.0,20
1,Alabama,25-1121,"Art, Drama, and Music Teachers, Postsecondary",2022,850,2023,880,30,3.5,90
1,Alabama,25-1122,"Communications Teachers, Postsecondary",2022,260,2023,270,10,3.8,30
1,Alabama,25-1123,"English Language and Literature Teachers, Postsecondary",2022,1130,2023,1170,40,3.5,120
1,Alabama,25-1124,"Foreign Language and Literature Teachers, Postsecondary",2022,110,2023,120,10,9.1,10
1,Alabama,25-1125,"History Teachers, Postsecondary",2022,350,2023,370,20,5.7,40
1,Alabama,25-1126,"Philosophy and Religion Teachers, Postsecondary",2022,150,2023,150,0,.0,20
1,Alabama,25-1192,"Home Economics Teachers, Postsecondary",2022,140,2023,140,0,.0,10
1,Alabama,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",2022,230,2023,240,10,4.3,30
1,Alabama,25-1194,"Vocational Education Teachers, Postsecondary",2022,1790,2023,1820,30,1.7,180
1,Alabama,25-1199,"Postsecondary Teachers, All Other",2022,570,2023,590,20,3.5,60
1,Alabama,25-2011,"Preschool Teachers, Except Special Education",2022,4010,2023,4180,170,4.2,500
1,Alabama,25-2012,"Kindergarten Teachers, Except Special Education",2022,860,2023,890,30,3.5,100
1,Alabama,25-2022,"Elementary School Teachers, Except Special Education",2022,21470,2023,22190,720,3.4,1900
1,Alabama,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2022,11120,2023,11490,370,3.3,990
1,Alabama,25-2023,"Career/Technical Education Teachers, Middle School",2022,230,2023,230,0,.0,20
1,Alabama,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",2022,12950,2023,13390,440,3.4,1100
1,Alabama,25-2051,"Special Education Teachers, Preschool",2022,140,2023,150,10,7.1,10
1,Alabama,25-2052,"Special Education Teachers, Kindergarten and Elementary School",2022,860,2023,890,30,3.5,80
1,Alabama,25-2057,"Special Education Teachers, Middle School (SOC 2018)",2022,450,2023,460,10,2.2,40
1,Alabama,25-2058,"Special Education Teachers, Secondary School (SOC 2018)",2022,480,2023,490,10,2.1,40
1,Alabama,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,2022,650,2023,650,0,.0,80
1,Alabama,25-3021,Self-Enrichment Education Teachers,2022,2930,2023,3050,120,4.1,400
1,Alabama,25-3031,"Substitute Teachers, Short-Term",2022,6750,2023,7050,300,4.4,930
1,Alabama,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",2022,4600,2023,4750,150,3.3,600
1,Alabama,25-4011,Archivists,2022,80,2023,80,0,.0,10
1,Alabama,25-4012,Curators,2022,120,2023,120,0,.0,10
1,Alabama,25-4013,Museum Technicians and Conservators,2022,90,2023,90,0,.0,10
1,Alabama,25-4022,Librarians and Media Collections Specialists,2022,2510,2023,2580,70,2.8,270
1,Alabama,25-4031,Library Technicians,2022,860,2023,860,0,.0,130
1,Alabama,25-9021,Farm and Home Management Advisors,2022,380,2023,390,10,2.6,40
1,Alabama,25-9031,Instructional Coordinators,2022,1720,2023,1760,40,2.3,180
1,Alabama,25-9044,"Teaching Assistants, Postsecondary",2022,470,2023,490,20,4.3,50
1,Alabama,25-9045,"Teaching Assistants, Except Postsecondary",2022,7930,2023,8190,260,3.3,870
1,Alabama,25-9099,"Education, Training, and Library Workers, All Other",2022,1090,2023,1120,30,2.8,120
1,Alabama,27-1011,Art Directors,2022,930,2023,960,30,3.2,110
1,Alabama,27-1012,Craft Artists,2022,130,2023,130,0,.0,10
1,Alabama,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",2022,240,2023,250,10,4.2,30
1,Alabama,27-1014,Multimedia Artists and Animators,2022,600,2023,610,10,1.7,70
1,Alabama,27-1019,"Artists and Related Workers, All Other",2022,90,2023,100,10,11.1,10
1,Alabama,27-1021,Commercial and Industrial Designers,2022,190,2023,200,10,5.3,20
1,Alabama,27-1022,Fashion Designers,2022,110,2023,110,0,.0,10
1,Alabama,27-1023,Floral Designers,2022,610,2023,610,0,.0,50
1,Alabama,27-1024,Graphic Designers,2022,2290,2023,2370,80,3.5,250
1,Alabama,27-1025,Interior Designers,2022,750,2023,770,20,2.7,70
1,Alabama,27-1026,Merchandise Displayers and Window Trimmers,2022,3120,2023,3260,140,4.5,360
1,Alabama,27-1027,Set and Exhibit Designers,2022,300,2023,300,0,.0,30
1,Alabama,27-1029,"Designers, All Other",2022,280,2023,280,0,.0,20
1,Alabama,27-2011,Actors,2022,170,2023,170,0,.0,20
1,Alabama,27-2012,Producers and Directors,2022,890,2023,920,30,3.4,90
1,Alabama,27-2022,Athletes and Sports Competitors,2022,280,2023,290,10,3.6,40
1,Alabama,27-2022,Coaches and Scouts,2022,3110,2023,3230,120,3.9,500
1,Alabama,27-2023,"Umpires, Referees, and Other Sports Officials",2022,50,2023,60,10,20.0,10
1,Alabama,27-2031,Dancers,2022,50,2023,50,0,.0,10
1,Alabama,27-2032,Choreographers,2022,50,2023,50,0,.0,10
1,Alabama,27-2041,Music Directors and Composers,2022,160,2023,170,10,6.3,20
1,Alabama,27-2042,Musicians and Singers,2022,3170,2023,3350,180,5.7,460
1,Alabama,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",2022,310,2023,320,10,3.2,40
1,Alabama,27-3011,Radio and Television Announcers,2022,390,2023,410,20,5.1,40
1,Alabama,27-3023,"News Analysts, Reporters, and Journalists",2022,690,2023,710,20,2.9,90
1,Alabama,27-3031,Public Relations Specialists,2022,5410,2023,5710,300,5.5,660
1,Alabama,27-3041,Editors,2022,760,2023,780,20,2.6,90
1,Alabama,27-3042,Technical Writers,2022,630,2023,660,30,4.8,70
1,Alabama,27-3043,Writers and Authors,2022,1430,2023,1460,30,2.1,150
1,Alabama,27-3091,Interpreters and Translators,2022,570,2023,600,30,5.3,70
1,Alabama,27-3092,Court Reporters and Simultaneous Captioners,2022,420,2023,420,0,.0,40
1,Alabama,27-3099,"Media and Communication Workers, All Other",2022,20,2023,20,0,.0,0
1,Alabama,27-4011,Audio and Video Equipment Technicians,2022,660,2023,690,30,4.5,80
1,Alabama,27-4012,Broadcast Technicians,2022,360,2023,370,10,2.8,40
1,Alabama,27-4014,Sound Engineering Technicians,2022,70,2023,60,-10,-14.3,10
1,Alabama,27-4021,Photographers,2022,1270,2023,1340,70,5.5,150
1,Alabama,27-4031,"Camera Operators, Television, Video, and Motion Picture",2022,220,2023,230,10,4.5,30
1,Alabama,27-4032,Film and Video Editors,2022,200,2023,210,10,5.0,20
1,Alabama,27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",2022,90,2023,90,0,.0,10
1,Alabama,29-1011,Chiropractors,2022,490,2023,510,20,4.1,20
1,Alabama,29-1021,"Dentists, General",2022,1630,2023,1670,40,2.5,60
1,Alabama,29-1022,Oral and Maxillofacial Surgeons,2022,20,2023,20,0,.0,0
1,Alabama,29-1023,Orthodontists,2022,40,2023,40,0,.0,0
1,Alabama,29-1029,"Dentists, All Other Specialists",2022,30,2023,30,0,.0,0
1,Alabama,29-1031,Dietitians and Nutritionists,2022,790,2023,810,20,2.5,60
1,Alabama,29-1041,Optometrists,2022,540,2023,560,20,3.7,20
1,Alabama,29-1051,Pharmacists,2022,4850,2023,4960,110,2.3,240
1,Alabama,29-1071,Physician Assistants,2022,710,2023,760,50,7.0,70
1,Alabama,29-1081,Podiatrists,2022,160,2023,160,0,.0,10
1,Alabama,29-1122,Occupational Therapists,2022,1190,2023,1240,50,4.2,90
1,Alabama,29-1123,Physical Therapists,2022,2640,2023,2770,130,4.9,180
1,Alabama,29-1124,Radiation Therapists,2022,460,2023,480,20,4.3,30
1,Alabama,29-1125,Recreational Therapists,2022,120,2023,130,10,8.3,10
1,Alabama,29-1126,Respiratory Therapists,2022,2400,2023,2550,150,6.3,190
1,Alabama,29-1127,Speech-Language Pathologists,2022,1790,2023,1890,100,5.6,160
1,Alabama,29-1128,Exercise Physiologists,2022,200,2023,210,10,5.0,20
1,Alabama,29-1129,"Therapists, All Other",2022,300,2023,310,10,3.3,30
1,Alabama,29-1131,Veterinarians,2022,1060,2023,1120,60,5.7,70
1,Alabama,29-1141,Registered Nurses,2022,51250,2023,52980,1730,3.4,3570
1,Alabama,29-1151,Nurse Anesthetists,2022,1490,2023,1560,70,4.7,110
1,Alabama,29-1171,Nurse Practitioners,2022,4070,2023,4530,460,11.3,460
1,Alabama,29-1181,Audiologists,2022,110,2023,120,10,9.1,10
1,Alabama,29-1211,Anesthesiologists (SOC 2018),2022,230,2023,240,10,4.3,10
1,Alabama,29-1215,Family Medicine Physicians,2022,890,2023,910,20,2.2,30
1,Alabama,29-1216,General Internal Medicine Physicians,2022,210,2023,210,0,.0,10
1,Alabama,29-1218,Obstetricians and Gynecologists (SOC 2018),2022,110,2023,100,-10,-9.1,0
1,Alabama,29-1221,"Pediatricians, General (SOC 2018)",2022,290,2023,290,0,.0,10
1,Alabama,29-1223,Psychiatrists (SOC 2018),2022,400,2023,420,20,5.0,20
1,Alabama,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",2022,4720,2023,4820,100,2.1,180
1,Alabama,29-1248,"Surgeons, Except Ophthalmologists",2022,470,2023,480,10,2.1,10
1,Alabama,29-1292,Dental Hygienists (SOC 2018),2022,3880,2023,3990,110,2.8,290
1,Alabama,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",2022,340,2023,340,0,.0,20
1,Alabama,29-2010,Clinical Laboratory Technologists and Technicians,2022,5810,2023,5990,180,3.1,460
1,Alabama,29-2031,Cardiovascular Technologists and Technicians,2022,1060,2023,1090,30,2.8,90
1,Alabama,29-2032,Diagnostic Medical Sonographers,2022,1210,2023,1270,60,5.0,120
1,Alabama,29-2033,Nuclear Medicine Technologists,2022,380,2023,390,10,2.6,30
1,Alabama,29-2034,Radiologic Technologists,2022,3720,2023,3840,120,3.2,330
1,Alabama,29-2035,Magnetic Resonance Imaging Technologists,2022,660,2023,680,20,3.0,60
1,Alabama,29-2040,Emergency Medical Technicians and Paramedics (SOC 2018),2022,4090,2023,4180,90,2.2,310
1,Alabama,29-2051,Dietetic Technicians,2022,140,2023,140,0,.0,10
1,Alabama,29-2052,Pharmacy Technicians,2022,6960,2023,7230,270,3.9,640
1,Alabama,29-2053,Psychiatric Technicians,2022,1610,2023,1660,50,3.1,140
